IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.150.51.134,4,4,0.00,204.00,14.60
168.138.177.109,4,4,0.00,203.82,0.00
129.150.51.134,4,4,0.00,203.85,0.00
129.150.51.134,4,4,0.00,203.99,0.00
152.69.219.32,4,4,0.00,203.99,0.00
